Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1547596800000,0.5355,0.5355,0.4668,0.4895,1343660.31,665013.64,0.499717
1547683200000,0.4895,0.4953,0.4639,0.4756,1411725.35,673447.21,0.479448
1547769600000,0.4762,0.5112,0.4601,0.4894,984417.59,474999.29,0.485698
1547856000000,0.4908,0.5,0.4673,0.4831,735443.2,354090.04,0.483604
1547942400000,0.4803,0.492,0.459,0.4834,677499.56,323333.55,0.475486
1548028800000,0.4839,0.5198,0.465,0.4972,897787.84,446086.79,0.492428
1548115200000,0.496,0.5656,0.4956,0.5344,1784953.5,955513.88,0.531853
1548201600000,0.5342,0.5475,0.4901,0.5046,1827069.39,940352.3,0.518757
1548288000000,0.5046,0.5065,0.4518,0.5017,1529219.53,745639.13,0.479133
1548374400000,0.5031,0.5157,0.4712,0.4739,1112869.08,544844.84,0.494047
1548460800000,0.4736,0.4884,0.4624,0.4661,865653.89,410185.82,0.475518
1548547200000,0.4661,0.4666,0.4229,0.4303,2278919.65,1004304.9,0.444054
1548633600000,0.431,0.4313,0.3504,0.4116,4006211.85,1540777.02,0.390406
1548720000000,0.4104,0.4638,0.4061,0.4505,5190825.37,2252399.74,0.435568
1548806400000,0.4505,0.4514,0.413,0.4249,2092369.59,897815.13,0.431513
1548892800000,0.425,0.441,0.3811,0.3832,2029033.61,826552.03,0.412013
1548979200000,0.385,0.43,0.38,0.4147,1899232.56,768342.47,0.405498
1549065600000,0.4163,0.433,0.3985,0.4136,821033.48,340840.33,0.415751
1549152000000,0.417,0.417,0.386,0.3963,1065170.56,424303.97,0.400854
1549238400000,0.3959,0.4125,0.3867,0.3943,1449384.96,579009.58,0.399604
1549324800000,0.3926,0.4327,0.3902,0.4224,1299107.03,532341.1,0.412004
1549411200000,0.4224,0.4236,0.3915,0.4,1368546.21,552819.62,0.407044
1549497600000,0.4,0.4065,0.3913,0.4021,498842.36,199193.78,0.39889
1549584000000,0.4021,0.45,0.3985,0.4383,2015969.58,859693.3,0.424821
1549670400000,0.4371,0.4844,0.431,0.4612,1384815.95,637171.05,0.458159
1549756800000,0.4648,0.48,0.4325,0.4499,2000850.55,913391.62,0.456222
1549843200000,0.4495,0.4515,0.42,0.4289,1580197.39,685555.87,0.435337
1549929600000,0.4277,0.4374,0.4176,0.4277,941303.58,400668.76,0.4275
1550016000000,0.4277,0.4454,0.4183,0.4411,935377.38,400576.99,0.431684
1550102400000,0.4422,0.4442,0.4203,0.4259,942053.44,407685.94,0.432013
1550188800000,0.4235,0.45,0.4222,0.4342,612251.8,264659.85,0.436379
1550275200000,0.4366,0.4464,0.4251,0.4398,465491.58,203941.27,0.435736
1550361600000,0.4386,0.4797,0.4317,0.4604,1616509.72,740396.47,0.456037
1550448000000,0.4615,0.4823,0.4534,0.471,1430254.78,671573.66,0.467894
1550534400000,0.471,0.4789,0.452,0.4598,1548002.44,724054.88,0.465452
1550620800000,0.4548,0.4748,0.4432,0.4618,1358786.28,625130.77,0.459009
1550707200000,0.4617,0.475,0.438,0.4438,1443214.98,655875.79,0.456733
1550793600000,0.4438,0.465,0.44,0.4479,700523.77,313850.86,0.452545
1550880000000,0.448,0.464,0.4437,0.4585,925529.64,419693.73,0.453893
1550966400000,0.4592,0.4644,0.3975,0.405,2154193.25,917345.28,0.430724
1551052800000,0.4047,0.4749,0.4007,0.4723,1785356.21,783690.75,0.437617
1551139200000,0.4722,0.474,0.43,0.4341,1775526.67,796546.59,0.451735
1551225600000,0.4335,0.4412,0.4145,0.4274,854212.45,365787.42,0.427816
1551312000000,0.4274,0.45,0.4166,0.4244,1059968.13,455311.56,0.433315
1551398400000,0.4236,0.4386,0.4203,0.4285,560690.81,239706.05,0.429512
1551484800000,0.4286,0.4372,0.4173,0.4221,331570.0,140599.97,0.427302
1551571200000,0.4232,0.4292,0.4177,0.4205,225429.95,95660.22,0.423472
1551657600000,0.4203,0.4255,0.3929,0.4036,946382.19,387502.95,0.409007
1551744000000,0.4029,0.4343,0.4023,0.4291,1686179.9,703630.9,0.418763
1551830400000,0.4291,0.4385,0.4186,0.4296,716328.15,305884.81,0.42855
1551916800000,0.4296,0.4766,0.4256,0.4521,1498764.03,677393.54,0.451624
1552003200000,0.4521,0.5107,0.4519,0.4611,3248280.83,1570069.71,0.481446
1552089600000,0.4611,0.4824,0.4524,0.4746,1381686.43,643096.0,0.467376
1552176000000,0.4742,0.546,0.4681,0.4981,2887991.86,1456511.4,0.507554
1552262400000,0.4982,0.5181,0.4382,0.4629,2633054.21,1262800.85,0.478027
1552348800000,0.4641,0.5079,0.4503,0.4876,2105182.67,1016416.43,0.479241
1552435200000,0.4872,0.488,0.4671,0.4805,1263356.68,602730.18,0.477384
1552521600000,0.4814,0.4994,0.4722,0.4871,1720792.4,835254.86,0.485817
1552608000000,0.4858,0.496,0.4831,0.4858,577893.06,281897.92,0.48955
1552694400000,0.4866,0.496,0.4681,0.4819,1768514.51,850597.48,0.482034
1552780800000,0.4805,0.4887,0.4702,0.4785,1352126.73,645227.39,0.47945
1552867200000,0.4789,0.4833,0.467,0.4757,891826.09,422057.34,0.475129
1552953600000,0.476,0.48,0.4648,0.477,530734.59,250536.1,0.472396
1553040000000,0.4796,0.4899,0.4737,0.4807,696146.28,335078.55,0.481802
1553126400000,0.4818,0.4842,0.4342,0.4548,1043991.8,484257.11,0.458484
1553212800000,0.4551,0.4655,0.447,0.4646,863577.33,392384.92,0.455996
1553299200000,0.4627,0.4644,0.4545,0.4608,406749.66,186648.71,0.459429
1553385600000,0.4606,0.4621,0.4485,0.4531,634173.75,287618.9,0.455172
1553472000000,0.4539,0.4949,0.441,0.4734,2441517.99,1142857.56,0.468095
1553558400000,0.4729,0.485,0.448,0.4605,1129722.2,526180.14,0.466494
1553644800000,0.4603,0.4997,0.4556,0.4946,1352736.34,651471.14,0.477686
1553731200000,0.4967,0.5196,0.4846,0.4992,1443876.83,719069.64,0.502105
1553817600000,0.4984,0.5042,0.4887,0.5008,877803.92,434977.12,0.496431
1553904000000,0.5008,0.5034,0.4858,0.494,675007.13,332877.15,0.494491
1553990400000,0.4938,0.541,0.4868,0.5084,2047013.33,1057434.92,0.514136
1554076800000,0.5084,0.563,0.5007,0.554,2288623.96,1226137.82,0.531951
1554163200000,0.5533,0.6,0.5326,0.5811,4081948.84,2328532.77,0.56626
